Sender,Subject,OpenRate
Car Insurance,Compare car insurance quotes online,12.51
Prize Promotions,Congratulations!,2.31
Car Insurance,You deserve affordable car insurance,8.23
Prize Promotions,Please take this survey,12.21
Prize Promotions,"Congratulations, here is your free prize!",1.81
Survey Partner,How well do you know capital cities?,15.23
Mortgage Partner,Cheap rates for refinancing,18.34
Prize Promotions,Don’t miss this limited time offer,11.93
Prize Promotions,"Congratulations, you have won a free gift card!",3.73
Ride Share,"Drive more, pay less",16.77
Car Insurance,Compare car insurance quotes online,13.89688863
Prize Promotions,Congratulations!,1.88
Car Insurance,You deserve affordable car insurance,11.52008221
Prize Promotions,Please take this survey,13.27653363
Prize Promotions,"Congratulations, here is your free prize!",1.22
Survey Partner,How well do you know capital cities?,12.30559653
Mortgage Partner,Cheap rates for refinancing,10.18862639
Prize Promotions,Don’t miss this limited time offer,12.93707059
Prize Promotions,"Congratulations, you have won a free gift card!",2.21
Ride Share,"Drive more, pay less",12.94507266
Car Insurance,Compare car insurance quotes online,10.36996246
Prize Promotions,Congratulations!,1.98
Car Insurance,You deserve affordable car insurance,10.53612411
Prize Promotions,Please take this survey,10.37801726
Prize Promotions,"Congratulations, here is your free prize!",2.32
Survey Partner,How well do you know capital cities?,13.84293934
Mortgage Partner,Cheap rates for refinancing,14.61614531
Prize Promotions,Don’t miss this limited time offer,11.18661294
Prize Promotions,"Congratulations, you have won a free gift card!",1.32
Ride Share,"Drive more, pay less",13.29648626
Car Insurance,Compare car insurance quotes online,13.70119286
Prize Promotions,Congratulations!,2.81
Car Insurance,You deserve affordable car insurance,10.3337899
Prize Promotions,Please take this survey,11.4814347
Prize Promotions,"Congratulations, here is your free prize!",1.57
Survey Partner,How well do you know capital cities?,14.10221884
Mortgage Partner,Cheap rates for refinancing,10.2350215
Prize Promotions,Don’t miss this limited time offer,12.00331951
Prize Promotions,"Congratulations, you have won a free gift card!",3.42
Ride Share,"Drive more, pay less",12.08327697
Car Insurance,Compare car insurance quotes online,11.11126505
Prize Promotions,Congratulations!,1.12
Car Insurance,You deserve affordable car insurance,10.10004554
Prize Promotions,Please take this survey,14.93944099
Prize Promotions,"Congratulations, here is your free prize!",2.84
Survey Partner,How well do you know capital cities?,10.51544642
Mortgage Partner,Cheap rates for refinancing,13.6869352
Prize Promotions,Don’t miss this limited time offer,12.04113802
Prize Promotions,"Congratulations, you have won a free gift card!",1.87
Ride Share,"Drive more, pay less",11.36984238
Car Insurance,Compare car insurance quotes online,13.11121253
Prize Promotions,Congratulations!,1.45
Car Insurance,You deserve affordable car insurance,14.93750327
Prize Promotions,Please take this survey,11.50366806
Prize Promotions,"Congratulations, here is your free prize!",2.73
Survey Partner,How well do you know capital cities?,12.27732796
Mortgage Partner,Cheap rates for refinancing,12.67509894
Prize Promotions,Don’t miss this limited time offer,14.23449754
Prize Promotions,"Congratulations, you have won a free gift card!",2.54
Ride Share,"Drive more, pay less",11.75964151
Car Insurance,Compare car insurance quotes online,13.56670496
Prize Promotions,Congratulations!,1.23
Car Insurance,You deserve affordable car insurance,11.68741596
Prize Promotions,Please take this survey,14.59134402
Prize Promotions,"Congratulations, here is your free prize!",4.65
Survey Partner,How well do you know capital cities?,11.80285516
Mortgage Partner,Cheap rates for refinancing,13.13776269
Prize Promotions,Don’t miss this limited time offer,14.53689516
Prize Promotions,"Congratulations, you have won a free gift card!",2.13
Ride Share,"Drive more, pay less",13.55949
Car Insurance,Compare car insurance quotes online,11.68882635
Prize Promotions,Congratulations!,2.34
Car Insurance,You deserve affordable car insurance,13.90438475
Prize Promotions,Please take this survey,13.58466027
Prize Promotions,"Congratulations, here is your free prize!",1.27
Survey Partner,How well do you know capital cities?,12.06609979
Mortgage Partner,Cheap rates for refinancing,14.75550882
Prize Promotions,Don’t miss this limited time offer,11.59163473
Prize Promotions,"Congratulations, you have won a free gift card!",1.69
Ride Share,"Drive more, pay less",13.24483692
Car Insurance,Compare car insurance quotes online,12.39457354
Prize Promotions,Congratulations!,1.23
Car Insurance,You deserve affordable car insurance,11.38766412
Prize Promotions,Please take this survey,14.14682668
Prize Promotions,"Congratulations, here is your free prize!",1.94
Survey Partner,How well do you know capital cities?,10.55828787
Mortgage Partner,Cheap rates for refinancing,12.39145291
Prize Promotions,Don’t miss this limited time offer,10.22893363
Prize Promotions,"Congratulations, you have won a free gift card!",2.78
Ride Share,"Drive more, pay less",12.75649744
Car Insurance,Compare car insurance quotes online,11.08018626
Prize Promotions,Congratulations!,3.54
Car Insurance,You deserve affordable car insurance,14.83835826
Prize Promotions,Please take this survey,11.41759806
Prize Promotions,"Congratulations, here is your free prize!",1.95
Survey Partner,How well do you know capital cities?,14.7270695
Mortgage Partner,Cheap rates for refinancing,14.27305765
Prize Promotions,Don’t miss this limited time offer,12.01199459
Prize Promotions,"Congratulations, you have won a free gift card!",2.47
Ride Share,"Drive more, pay less",14.818419
